"No.","Time","Source","Destination","Protocol","Length","Info"
"1967","5.121726","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1968","5.121727","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1969","5.121728","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1970","5.121728","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1971","5.121728","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1972","5.121729","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1973","5.122134","192.168.1.2","187.19.145.48","UDP","71","53800  >  443 Len=29"
"1974","5.123637","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1975","5.123638","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1976","5.123639","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1977","5.123640","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1978","5.123640","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1979","5.123640","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1980","5.123641","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1981","5.123641","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1982","5.123642","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1983","5.123642","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1984","5.123643","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1985","5.123643","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1986","5.123644","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1987","5.123644","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1988","5.123645","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1989","5.123904","192.168.1.2","187.19.145.48","UDP","71","53800  >  443 Len=29"
"1990","5.124091","192.168.1.2","187.19.145.48","UDP","71","53800  >  443 Len=29"
"1991","5.128630","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1992","5.128630","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1993","5.128632","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1994","5.128632","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1995","5.128632","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1996","5.128633","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1997","5.128633","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1998","5.128634","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1999","5.128634","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2000","5.128634","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2001","5.128635","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2002","5.128635","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2003","5.128636","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2004","5.128636","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2005","5.128636","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2006","5.128960","192.168.1.2","187.19.145.48","UDP","84","53800  >  443 Len=42"
"2007","5.130665","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2008","5.130666","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2009","5.130667","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2010","5.130668","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2011","5.130668","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2012","5.130668","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2013","5.130669","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2014","5.130669","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2015","5.130670","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2016","5.130670","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2017","5.130670","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2018","5.130671","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2019","5.130671","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2020","5.130672","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2021","5.130672","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"2022","5.130944","192.168.1.2","187.19.145.48","UDP","71","53800  >  443 Len=29"
"2023","5.131040","192.168.1.2","187.19.145.48","UDP","74","53800  >  443 Len=32"
"2024","5.131093","192.168.1.2","187.19.145.48","UDP","76","53800  >  443 Len=34"
"2025","5.131144","192.168.1.2","187.19.145.48","UDP","78","53800  >  443 Len=36"
"2026","5.131193","192.168.1.2","187.19.145.48","UDP","78","53800  >  443 Len=36"
"2027","5.131243","192.168.1.2","187.19.145.48","UDP","78","53800  >  443 Len=36"
"2028","5.131293","192.168.1.2","187.19.145.48","UDP","78","53800  >  443 Len=36"
"2029","5.131343","192.168.1.2","187.19.145.48","UDP","80","53800  >  443 Len=38"
"2030","5.131395","192.168.1.2","187.19.145.48","UDP","80","53800  >  443 Len=38"
"2031","5.131450","192.168.1.2","187.19.145.48","UDP","80","53800  >  443 Len=38"
"2032","5.131498","192.168.1.2","187.19.145.48","UDP","80","53800  >  443 Len=38"
"2033","5.136224","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
