"No.","Time","Source","Destination","Protocol","Length","Info"
"16437","15.994169","192.168.1.2","187.19.145.48","UDP","89","52409  >  443 Len=47"
"16438","15.994227","192.168.1.2","187.19.145.48","UDP","76","52409  >  443 Len=34"
"16439","15.994277","192.168.1.2","187.19.145.48","UDP","76","52409  >  443 Len=34"
"16440","15.994620","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16441","15.994621","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16442","15.994622","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16443","15.994622","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16444","15.994622","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16445","15.994623","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16446","15.994623","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16447","15.994623","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16448","15.994624","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16449","15.994624","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16450","15.994624","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16451","15.994741","192.168.1.2","187.19.145.48","UDP","79","52409  >  443 Len=37"
"16452","15.994782","192.168.1.2","187.19.145.48","UDP","79","52409  >  443 Len=37"
"16453","15.994819","192.168.1.2","187.19.145.48","UDP","82","52409  >  443 Len=40"
"16454","15.994854","192.168.1.2","187.19.145.48","UDP","82","52409  >  443 Len=40"
"16455","15.994889","192.168.1.2","187.19.145.48","UDP","82","52409  >  443 Len=40"
"16456","15.994926","192.168.1.2","187.19.145.48","UDP","82","52409  >  443 Len=40"
"16457","15.995509","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16458","15.995509","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16459","15.995510","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16460","15.995510","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16461","15.995510","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16462","15.995511","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16463","15.995511","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16464","15.995512","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16465","15.995512","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16466","15.995512","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16467","15.995513","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16468","15.995640","192.168.1.2","187.19.145.48","UDP","82","52409  >  443 Len=40"
"16469","15.996403","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16470","15.996403","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16471","15.996404","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16472","15.996404","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16473","15.996405","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16474","15.996405","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16475","15.996405","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
